iter	Passed	Remaining
0	145	145438
1	153	76536
2	159	53122
3	166	41426
4	173	34447
5	179	29763
6	187	26658
7	194	24159
8	201	22239
9	209	20740
10	217	19515
11	224	18444
12	231	17547
13	238	16803
14	245	16133
15	253	15585
16	260	15054
17	267	14593
18	274	14163
19	281	13778
20	287	13420
21	296	13163
22	302	12869
23	310	12623
24	317	12385
25	324	12164
26	332	11970
27	338	11764
28	345	11578
29	353	11418
30	360	11269
31	368	11136
32	377	11076
33	384	10936
34	391	10796
35	399	10688
36	406	10581
37	413	10474
38	421	10375
39	433	10397
40	448	10483
41	452	10325
42	459	10222
43	466	10131
44	473	10041
45	479	9950
46	486	9858
47	492	9776
48	499	9688
49	508	9652
50	514	9582
51	521	9511
52	528	9441
53	534	9356
54	539	9275
55	545	9193
56	551	9119
57	557	9047
58	562	8970
59	567	8897
60	573	8828
61	578	8758
62	584	8694
63	590	8630
64	595	8571
65	601	8510
66	606	8451
67	612	8393
68	618	8341
69	623	8289
70	629	8235
71	634	8183
72	640	8134
73	646	8090
74	651	8040
75	657	7994
76	675	8098
77	680	8049
78	686	8004
79	692	7958
80	697	7914
81	703	7870
82	708	7826
83	713	7783
84	719	7742
85	724	7702
86	730	7662
87	735	7624
88	741	7586
89	746	7551
90	752	7515
91	757	7478
92	763	7444
93	768	7410
94	774	7375
95	780	7347
96	785	7316
97	791	7284
98	797	7257
99	802	7226
100	808	7194
101	814	7167
102	819	7135
103	824	7106
104	829	7073
105	835	7043
106	840	7016
107	846	6990
108	851	6964
109	857	6936
110	862	6911
111	868	6887
112	874	6863
113	879	6838
114	885	6815
115	891	6793
116	897	6770
117	902	6747
118	908	6724
119	913	6701
120	934	6789
121	940	6765
122	945	6742
123	951	6718
124	956	6695
125	962	6673
126	967	6650
127	972	6628
128	978	6606
129	983	6584
130	989	6564
131	995	6544
132	1000	6522
133	1006	6501
134	1011	6481
135	1016	6460
136	1022	6442
137	1028	6425
138	1034	6406
139	1040	6389
140	1046	6372
141	1051	6355
142	1057	6335
143	1062	6317
144	1068	6300
145	1074	6285
146	1080	6268
147	1086	6251
148	1091	6234
149	1096	6215
150	1102	6199
151	1108	6181
152	1113	6165
153	1119	6149
154	1124	6132
155	1130	6115
156	1136	6099
157	1141	6082
158	1146	6065
159	1152	6050
160	1158	6034
161	1178	6094
162	1183	6077
163	1188	6060
164	1194	6044
165	1199	6028
166	1205	6012
167	1210	5995
168	1216	5981
169	1220	5959
170	1226	5943
171	1231	5928
172	1237	5914
173	1242	5898
174	1247	5882
175	1253	5868
176	1258	5853
177	1264	5839
178	1269	5824
179	1275	5809
180	1280	5795
181	1286	5781
182	1291	5766
183	1297	5755
184	1303	5740
185	1308	5727
186	1314	5713
187	1319	5700
188	1330	5708
189	1335	5694
190	1341	5680
191	1346	5667
192	1352	5653
193	1357	5638
194	1363	5626
195	1368	5613
196	1374	5600
197	1379	5588
198	1384	5574
199	1390	5562
200	1396	5549
201	1399	5530
202	1405	5516
203	1410	5505
204	1416	5492
205	1421	5480
206	1427	5468
207	1432	5456
208	1438	5443
209	1452	5465
210	1458	5453
211	1464	5443
212	1471	5435
213	1476	5423
214	1482	5411
215	1487	5399
216	1495	5394
217	1500	5382
218	1506	5371
219	1512	5362
220	1518	5352
221	1524	5342
222	1529	5330
223	1535	5319
224	1541	5308
225	1546	5297
226	1552	5285
227	1557	5273
228	1562	5261
229	1568	5250
230	1574	5240
231	1579	5228
232	1585	5219
233	1591	5208
234	1596	5197
235	1602	5187
236	1608	5177
237	1613	5166
238	1619	5155
239	1624	5144
240	1630	5134
241	1636	5124
242	1641	5113
243	1646	5102
244	1652	5091
245	1657	5080
246	1663	5070
247	1668	5059
248	1674	5049
249	1679	5039
250	1685	5029
251	1691	5020
252	1697	5012
253	1703	5001
254	1708	4991
255	1714	4982
256	1719	4972
257	1725	4962
258	1730	4952
259	1736	4942
260	1742	4932
261	1747	4922
262	1753	4913
263	1758	4903
264	1762	4889
265	1768	4878
266	1773	4868
267	1779	4859
268	1784	4849
269	1792	4845
270	1798	4837
271	1803	4828
272	1809	4819
273	1815	4809
274	1820	4799
275	1826	4790
276	1831	4781
277	1837	4771
278	1842	4761
279	1848	4752
280	1853	4742
281	1859	4733
282	1864	4723
283	1870	4715
284	1875	4705
285	1881	4696
286	1886	4687
287	1892	4679
288	1898	4669
289	1903	4660
290	1909	4652
291	1915	4643
292	1920	4634
293	1926	4625
294	1931	4615
295	1936	4606
296	1942	4597
297	1947	4588
298	1953	4579
299	1959	4571
300	1964	4563
301	1970	4554
302	1975	4544
303	1981	4536
304	1986	4527
305	1992	4518
306	1997	4509
307	2003	4500
308	2008	4492
309	2014	4483
310	2019	4474
311	2025	4466
312	2030	4457
313	2036	4449
314	2042	4441
315	2048	4433
316	2053	4424
317	2059	4416
318	2064	4407
319	2070	4399
320	2075	4390
321	2081	4382
322	2086	4373
323	2092	4365
324	2097	4356
325	2105	4353
326	2110	4344
327	2116	4336
328	2122	4328
329	2127	4319
330	2133	4311
331	2138	4303
332	2144	4295
333	2150	4287
334	2155	4278
335	2161	4271
336	2166	4263
337	2172	4255
338	2178	4247
339	2183	4239
340	2189	4230
341	2194	4222
342	2200	4214
343	2205	4206
344	2211	4197
345	2216	4189
346	2222	4181
347	2227	4173
348	2233	4165
349	2238	4157
350	2244	4150
351	2249	4142
352	2255	4133
353	2261	4126
354	2266	4118
355	2272	4110
356	2276	4100
357	2281	4092
358	2287	4084
359	2293	4077
360	2299	4070
361	2305	4062
362	2310	4055
363	2316	4047
364	2322	4039
365	2327	4032
366	2333	4024
367	2339	4017
368	2344	4009
369	2350	4002
370	2356	3994
371	2361	3987
372	2367	3979
373	2373	3972
374	2378	3964
375	2384	3957
376	2390	3949
377	2395	3942
378	2401	3934
379	2407	3927
380	2413	3920
381	2418	3913
382	2424	3905
383	2430	3898
384	2435	3890
385	2441	3883
386	2446	3875
387	2452	3868
388	2458	3861
389	2463	3853
390	2469	3845
391	2474	3838
392	2480	3831
393	2485	3823
394	2491	3815
395	2496	3808
396	2502	3800
397	2522	3815
398	2527	3807
399	2533	3799
400	2538	3791
401	2544	3784
402	2549	3777
403	2555	3769
404	2560	3762
405	2566	3754
406	2572	3747
407	2577	3739
408	2582	3732
409	2588	3725
410	2594	3717
411	2599	3710
412	2605	3703
413	2611	3695
414	2616	3688
415	2622	3681
416	2628	3674
417	2633	3666
418	2639	3659
419	2644	3652
420	2650	3645
421	2655	3637
422	2661	3630
423	2667	3623
424	2673	3616
425	2678	3609
426	2684	3602
427	2689	3594
428	2695	3587
429	2700	3580
430	2706	3573
431	2712	3565
432	2717	3558
433	2723	3551
434	2729	3544
435	2734	3537
436	2740	3530
437	2746	3523
438	2751	3516
439	2758	3511
440	2766	3506
441	2772	3500
442	2780	3495
443	2801	3508
444	2808	3502
445	2815	3497
446	2822	3491
447	2830	3487
448	2836	3481
449	2844	3476
450	2850	3470
451	2856	3463
452	2863	3457
453	2869	3451
454	2876	3444
455	2882	3438
456	2888	3431
457	2895	3426
458	2901	3419
459	2908	3413
460	2913	3407
461	2920	3400
462	2926	3394
463	2932	3387
464	2939	3381
465	2945	3374
466	2951	3368
467	2957	3362
468	2963	3355
469	2969	3349
470	2975	3342
471	2982	3336
472	2988	3329
473	2994	3323
474	3001	3317
475	3007	3311
476	3014	3305
477	3020	3298
478	3026	3292
479	3033	3286
480	3039	3279
481	3045	3273
482	3052	3267
483	3058	3260
484	3064	3253
485	3070	3247
486	3077	3241
487	3083	3234
488	3089	3228
489	3095	3221
490	3101	3215
491	3108	3209
492	3114	3202
493	3120	3196
494	3126	3189
495	3132	3182
496	3138	3176
497	3144	3169
498	3150	3163
499	3156	3156
500	3162	3149
501	3168	3143
502	3175	3137
503	3181	3130
504	3187	3124
505	3193	3117
506	3199	3110
507	3205	3104
508	3210	3097
509	3216	3090
510	3222	3083
511	3227	3076
512	3233	3069
513	3238	3062
514	3244	3055
515	3249	3048
516	3255	3041
517	3260	3033
518	3265	3026
519	3271	3019
520	3277	3012
521	3282	3005
522	3287	2998
523	3293	2991
524	3298	2984
525	3304	2977
526	3309	2970
527	3315	2963
528	3320	2956
529	3326	2949
530	3331	2942
531	3337	2935
532	3342	2929
533	3348	2921
534	3353	2915
535	3359	2908
536	3365	2901
537	3370	2894
538	3376	2887
539	3381	2880
540	3387	2873
541	3392	2867
542	3398	2860
543	3403	2853
544	3409	2846
545	3415	2840
546	3421	2833
547	3426	2826
548	3432	2819
549	3437	2812
550	3443	2806
551	3449	2799
552	3454	2792
553	3460	2785
554	3465	2778
555	3470	2771
556	3476	2765
557	3482	2758
558	3487	2751
559	3493	2744
560	3498	2737
561	3504	2731
562	3509	2724
563	3515	2717
564	3520	2710
565	3526	2703
566	3531	2696
567	3537	2690
568	3542	2683
569	3548	2676
570	3570	2682
571	3575	2675
572	3581	2668
573	3587	2662
574	3592	2655
575	3598	2648
576	3603	2641
577	3609	2635
578	3614	2628
579	3620	2621
580	3625	2614
581	3631	2608
582	3636	2601
583	3642	2594
584	3647	2587
585	3653	2580
586	3658	2574
587	3663	2567
588	3669	2560
589	3675	2553
590	3680	2547
591	3686	2540
592	3691	2533
593	3696	2526
594	3702	2519
595	3707	2513
596	3713	2506
597	3718	2499
598	3724	2493
599	3729	2486
600	3735	2479
601	3740	2473
602	3746	2466
603	3751	2459
604	3757	2453
605	3762	2446
606	3768	2439
607	3774	2433
608	3780	2426
609	3785	2420
610	3791	2413
611	3797	2407
612	3802	2400
613	3808	2394
614	3815	2388
615	3821	2382
616	3827	2375
617	3832	2368
618	3837	2362
619	3843	2355
620	3848	2348
621	3854	2342
622	3860	2335
623	3865	2329
624	3870	2322
625	3876	2315
626	3881	2309
627	3887	2302
628	3893	2296
629	3898	2289
630	3903	2282
631	3909	2276
632	3915	2270
633	3921	2263
634	3926	2256
635	3931	2250
636	3937	2243
637	3942	2237
638	3948	2230
639	3953	2224
640	3959	2217
641	3964	2210
642	3970	2204
643	3975	2197
644	3981	2191
645	3986	2184
646	3992	2178
647	3997	2171
648	4003	2165
649	4009	2158
650	4014	2152
651	4020	2145
652	4025	2139
653	4031	2132
654	4037	2126
655	4043	2120
656	4049	2113
657	4054	2107
658	4059	2100
659	4065	2094
660	4070	2087
661	4076	2081
662	4081	2074
663	4087	2068
664	4092	2061
665	4098	2055
666	4103	2048
667	4108	2042
668	4114	2035
669	4119	2029
670	4125	2022
671	4130	2016
672	4136	2009
673	4142	2003
674	4147	1997
675	4153	1990
676	4159	1984
677	4165	1978
678	4170	1971
679	4175	1965
680	4181	1958
681	4186	1952
682	4192	1945
683	4197	1939
684	4202	1932
685	4208	1926
686	4213	1919
687	4219	1913
